Pulse Duration(ms),Distance(cm),Actual Distance(cm)
162,3,4
383,6,6
346,5,6
345,5,6
428,7,6
346,5,6
479,8,8
403,6,8
517,8,9
785,13,13
928,15,16
1210,20,20
1521,25,25
1578,26,25
1740,29,29
1939,32,34
2150,36,37
2338,39,40
2673,45,46
2715,46,46
2897,49,49
3088,52,54
3282,55,58
3882,65,66
4485,76,78
4475,76,78
4470,75,78
6379,108,110
6981,118,120
8089,137,143
9475,161,162
9496,192,193
11309,199,200
10789,233,234
13727,268,268
15771,299,302
17632,336,341
19775,195,370
11483,233,200
13709,245,245
14441,245,244
14538,250,250
14721,82,255
4825,96,85
5692,95,100
5618,110,115
6521,125,130
7384,31,31
1690,28,28
1303,22,22
5324,90,94
10146,172,175
14224,241,240
2392,41,41
3430,60,60
3057,51,51
3472,60,60
3914,60,69
4573,69,78
5023,78,89
5570,89,95
3422,95,59
3968,59,66
4777,66,81
1891,81,33
3578,33,62
5898,62,115
6512,115,133
7561,133,152
8810,152,176
10621,176,274
15240,274,292
4120,70,71
4614,78,79
4508,76,79
4807,82,85
4980,84,178
