Pulse Duration(ms),Distance(cm),Actual Distance(cm),Calibrated Distance(cm)
162,3,4,-0.38274044612901914
383,6,6,3.44560153878571
346,5,6,2.1712260957608605
345,5,6,2.1712260957608605
428,7,6,4.718238429863834
346,5,6,2.1712260957608605
479,8,8,5.989136768995231
403,6,8,3.44560153878571
517,8,9,5.989136768995231
785,13,13,12.317550185451317
928,15,16,14.836745688406666
1210,20,20,21.104309786727317
1521,25,25,27.3284100863798
1578,26,25,28.56801449047012
1740,29,29,32.276396391060715
1939,32,34,35.969131324130764
2150,36,37,40.868438174303336
2338,39,40,44.52466351649212
2673,45,46,51.7901732983081
2715,46,46,52.995006663463876
2897,49,49,56.599075447250875
3088,52,54,60.18749726351733
3282,55,58,63.76027211226325
3882,65,66,75.55651573154574
4485,76,78,88.33158096290954
4475,76,78,88.33158096290954
4470,75,78,87.17890415615555
6379,108,110,124.29928335116546
6981,118,120,135.17409443868283
8089,137,143,155.35726444364263
9475,161,162,179.95470217171254
9496,192,193,210.24427703588506
11309,199,200,216.8526310479126
10789,233,234,247.73857982803506
13727,268,268,277.43363739072396
15771,299,302,301.9564354476042
17632,336,341,329.03848316651147
19775,195,370,213.08686006700577
11483,233,200,247.73857982803506
13709,245,245,258.1596625896052
14441,245,244,258.1596625896052
14538,250,250,262.4278919491902
14721,82,255,95.2111322125522
4825,96,85,111.02002118917667
5692,95,100,109.90211542135722
5618,110,115,126.48815398424273
6521,125,130,142.68301835911475
7384,31,31,34.73995823172081
1690,28,28,31.042007642810574
1303,22,22,23.599165562428492
5324,90,94,104.28650830305905
10146,172,175,190.89385654733306
14224,241,240,254.71378516689614
2392,41,41,46.95345431821769
3430,60,60,69.68012582123856
3057,51,51,58.99309521004191
3472,60,60,69.68012582123856
3914,60,69,69.68012582123856
4573,69,78,80.22633372475039
5023,78,89,90.63171892057734
5570,89,95,103.15817122355924
3422,95,59,109.90211542135722
3968,59,66,68.49963218333697
4777,66,81,76.726578057767
1891,81,33,94.06888671747858
3578,33,62,37.19656586459399
5898,62,115,72.03589744120161
6512,115,133,131.92990590786826
7561,133,152,151.16033257994764
8810,152,176,170.84801528009038
10621,176,274,194.8195743073387
15240,274,292,282.31037679773755
4120,70,71,81.38944184318473
4614,78,79,90.63171892057734
4508,76,79,88.33158096290954
4807,82,85,95.2111322125522
4980,84,178,97.49040754685927
